competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,3,,Sandra Sjöberg,Downforce Hennie,Border collie,SWE,,,,0.0,40.24,5.39,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,4,,Viktoria Moen-Bardølsgård,Australian Mates Juicy IPA,Australian Kelpie,NOR,,,,0.0,41.2,5.27,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,5,,Sanna Harjunpää,Starscream,Bordercollie,FIN,,,,5.0,38.88,5.58,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,6,,Channie Elmestedt,Border star hall of fame,Border Collie,DNK,,,,5.0,39.1,5.55,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,7,,Trine Thorkildsen,Nesbakkens Minimorris,Border Collie,NOR,,,,5.0,42.49,5.11,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_intermediate_1,Intermediate,Final,False,8,,Gigi Danica,Apollo,Nova Scotia Duck Tolling ReDtrEiNever,DNK,,,,13.49,46.49,4.67,False,Petr Pupík,43.0,,217.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,1,,Gustaf Elgh,Toberoi Pumpkin,Border collie,SWE,,,,0.0,41.65,5.26,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,2,,Esther Falck Jakobsen,Fjellmannsplass Bia,Border Collie,NOR,,,,0.0,42.37,5.17,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,3,,Raisa Vähätalo,Gjerulff wonderful Willow got the jackpot,Border collie,FIN,,,,0.0,42.66,5.13,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,4,,Mariia Evstigneeva,Svagni Leela,Smooth Collie,FIN,,,,0.0,45.46,4.82,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,5,,Monica Iversen,LL´Giller,Border Collie,NOR,,,,0.0,46.0,4.76,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,6,,Enya Habel,Agilitypower Be InZane Ryu,Border collie,SWE,,,,5.0,39.76,5.51,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,7,,Laura Sutinen,Khaos of Quick Angel,Bordercollie,FIN,,,,5.0,40.54,5.4,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,8,,Anne Karlsson,TheLook No-Limit Berit,Border collie,SWE,,,,5.0,41.56,5.27,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,9,,Ida Åkesson,Greis Working Cocos,Border collie,SWE,,,,5.0,47.91,4.57,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,10,,Robert Bratt,Jenzan Søs Narjana,Border Collie,NOR,,,,10.0,42.9,5.1,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_large_1,Large,Final,False,11,,Maj Davidsen,Border Star Power of Zui,Border Collie,DNK,,,,10.0,45.74,4.79,False,Petr Pupík,48.0,,219.0
Nordic Agility Championship 2025,ind_final_medium_1,Medium,Final,False,1,,Emmiina Abrahamsson,Kuunhohteen Poutapilvi,Shetlandsheepdog,FIN,,,,0.0,41.25,5.28,False,Petr Pupík,48.0,,218.0
Nordic Agility Championship 2025,ind_final_medium_1,Medium,Final,False,2,,Maria Ljungdahl,Hammarstigen’s Mac Beltra,Cocker spaniel,SWE,,,,5.0,40.14,5.43,False,Petr Pupík,48.0,,218.0
Nordic Agility Championship 2025,ind_final_medium_1,Medium,Final,False,3,,Einari Pekkala,Casse-noisettes L'amour Naissant,Long-haired Pyrenean S heepFdINog,FIN,,,,5.32,48.32,4.51,False,Petr Pupík,48.0,,218.0
Nordic Agility Championship 2025,ind_final_medium_1,Medium,Final,False,4,,Maria Sori,RUNRUNRUN DOUBLE DOWN,cockerspaniel,FIN,,,,10.0,37.56,5.8,False,Petr Pupík,48.0,,218.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,1,,Assi Rapeli,Käpylaakson Meren Tähti,shetland sheepdog,FIN,,,,0.0,39.1,5.55,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,2,,Elin Bergendahl Grønås,Mieelas Poter's Clay Blue,Shetland Sheepdog,NOR,,,,0.0,39.75,5.46,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,3,,Edvin Persson,Brainpool's Eager Energy,Shetland Sheepdog,SWE,,,,0.0,40.08,5.41,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,4,,Enya Habel,Brainpool's Mindful Missil,Shetland Sheepdog,SWE,,,,0.0,40.1,5.41,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,5,,Sanni Kariniemi,Swashing Nutmeg,shetland sheepdog,FIN,,,,0.0,40.42,5.37,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,6,,Linn Nordqvist,Kattgubbens Nerja,Poodle,SWE,,,,0.0,43.16,5.03,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,7,,Claus Andersen,Elverlamshuset's Dea,Shetland Sheepdog,DNK,,,,1.2,46.2,4.7,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,8,,Jessica Kock,0,Poodle,FIN,,,,5.0,38.4,5.65,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,9,,Signe K.Gundersen,Hubbabubba Mick From the Beauty Bats,Papillon,NOR,,,,5.0,40.25,5.39,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,10,,Maija Tiainen,Littlefun’s Miss White Choco,Miniature poodle,FIN,,,,5.0,42.05,5.16,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,11,,Mathilde Grandberg,Equilibrate All About Joy,Parson Russell Terrier,DNK,,,,5.38,45.38,4.78,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,12,,Camilla Sandbakk,Jennyrose's Life Is Agilityshow,Dverg Puddel,NOR,,,,8.71,48.71,4.45,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,13,,Gabriella Hennings,Engine Iggy Koopa,Poodle,SWE,,,,10.0,41.06,5.28,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,14,,Eli Beate Sæther,Enjoy The Magic Moment Hidden Vision,Shetland Sheepdog,NOR,,,,11.34,46.34,4.68,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,15,,Tonje Sollied Johansen,Urge to Run of Summergarden,Shetland Sheepdog,NOR,,,,11.56,46.56,4.66,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_final_small_1,Small,Final,False,16,,Matilda Mäkinen,Meu Amor’s Symphony,parson russel terrier,FIN,,,,17.91,47.91,4.53,False,Petr Pupík,45.0,,217.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,1,,Ammy Steen,Downforce Sota,Border collie,SWE,,,,0.0,35.93,5.98,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,2,,Carina de Silva,Aikandi that’s me on the Fast Track,Border Collie,DNK,,,,0.0,36.25,5.93,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,3,,Katariina Kuiro,Melissa Andre Blooms,Bordercollie,FIN,,,,0.0,36.35,5.91,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,4,,Sandra Sjöberg,Downforce Hennie,Border collie,SWE,,,,0.0,36.53,5.89,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,5,,Moa Åström,Zi,Border collie,SWE,,,,0.0,36.8,5.84,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,6,,Sabine Serwin,Graceful Border act like a queen miss Cas,eByorder Collie,DNK,,,,0.0,37.0,5.81,False,Petr Pupík,42.0,,215.0
Nordic Agility Championship 2025,ind_jumping_intermediate_1,Intermediate,Jumping,False,7,,Ingeborg Eugenie Blakkisrud,Alickra's Insane Iza,Border Collie,NOR,,,,0.0,38.98,5.52,False,Petr Pupík,42.0,,215.0
